id,body,message_id
1,job search,1
2,salary negotiation,2
3,negotiation tactics,3
4,higher salary,3
41,Skills,21
42,Industry,21
43,Success,21
44,Networking,22
45,Emerging Trends,23
46,Professional Development,24
47,work-life balance,26
48,networking,27
49,industry,27
50,career advancement,28
51,software engineering,28
52,managing a diverse team,29
53,stress management,30
54,avoiding burnout,30
55,high-pressure environment,30
56,coding interview preparation,31
57,salary negotiation strategies,32
58,diversity and inclusion,34
59,managing stress,35
60,avoiding burnout,35
61,high-pressure environment,35
62,presentation skills,36
63,client meetings,36
64,managing stress,37
65,avoiding burnout,37
66,high-pressure environment,37
67,salary negotiation,38
68,career advancement,38
69,managing stress,39
70,avoiding burnout,39
71,high-pressure environment,39
72,coding interview preparation,40
73,managing stress,41
74,avoiding burnout,41
75,high-pressure environment,41
76,setting career goals,42
77,achieving career goals,42
78,improving presentation skills,43
79,client meetings,43
80,time management at work,44
81,diverse team management,45
82,coding interview preparation,46
83,managing stress,47
84,avoiding burnout,47
85,high-pressure environment,47
86,managing stress,48
87,avoiding burnout,48
88,high-pressure environment,48
89,fun dummy topic :),49
90,fun dummy topic :),50
91,fun dummy topic :),51
92,fun dummy topic :),52
93,fun dummy topic :),53
94,fun dummy topic :),54
95,fun dummy topic :),55
96,fun dummy topic :),56
97,fun dummy topic :),57
98,AI for earning potential,58
99,task delegation,59
100,management strategies,59
101,stress management,60
102,burnout prevention,60
103,high-pressure environment,60
104,workplace abuse,61
105,physical violence,61
106,reporting workplace abuse,62
107,career development,64
108,government jobs,65
109,career change,65
110,political correctness,67
111,North Korea,67
112,leadership,67
113,international relations,68
114,political diplomacy,68
115,leadership development,69
116,goal-setting,69
117,Career Advancement,70
118,Professional Networking,70
119,Internship Applications,71
120,transitioning careers,72
121,product management,72
122,entrepreneurship,72
124,effective techniques,74
125,problem-solving,74
126,workplace,74
127,effective negotiation tactics,75
128,higher salary,75
129,AI for earning potential,76
130,difficult bosses,77
131,difficult coworkers,77
133,leadership development,78
134,goal-setting,78
135,managing difficult bosses,79
136,managing difficult coworkers,79
137,managing difficult bosses,80
138,managing difficult coworkers,80
139,leadership development,81
140,goal-setting,81
141,career advancement,82
142,software engineering,82
143,AI for career growth,83
144,AI for beginners,84
145,AI for SQL developers,84
146,managing difficult bosses,85
147,managing difficult coworkers,85
148,coding interview preparation,86
149,managing difficult bosses,87
150,managing difficult coworkers,87
151,time management,89
152,work,89
153,improvement,89
154,interview preparation,90
155,Remote Work,91
156,Productivity,91
157,Motivation,91
158,networking,92
159,tech industry,92
160,career goals,93
161,strategies,93
162,achieving,93
164,networking,95
165,industry,95
166,Industry trends,96
167,Developments,96
168,Ways to keep up,96
169,Work-life balance,97
170,Balancing work and school,98
171,Time management,99
175,task prioritization,104
176,urgency,104
177,workload management,105
178,task deadlines,105
179,paper revision,106
180,deadline,106
181,committee meeting,107
182,meeting management,108
183,committee meetings,109
184,team management,110
185,software development,110
186,stakeholder management,111
187,relationship building,111
188,academic setting,112
189,stakeholder identification,112
190,task planning,113
191,goal setting,114
192,task prioritization,115
193,urgency,115
194,course load,116
195,internship,116
196,time management,117
197,productivity,117
198,technical skills,118
199,business skills,118
200,product management,118
201,leadership development,119
202,goal-setting,119
